Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g164),Error (g185),Error (g238),Error (curve),Error (g223),Error (g243),Error (g138),Error (g50),Reduced Error
3991.8,0.39494,143.95,8.0885,0.096054,0.13338,0.06992,0.16395,1.2423,0.36732,0.071938,0.12899,0.22507,2.498926563657414
3985.8,0.39784,144.69,8.0885,0.09603,0.13331,0.069895,0.16403,1.2568,0.40877,0.071958,0.12907,0.22499,2.554882097436718
3994.0,2.2511,487.08,2.3041,0.090973,0.12381,0.075163,0.15593,1.3497,0.40405,0.092545,0.13836,0.15687,2.5873634254509907
3985.6,0.39341,147.4,8.0636,0.095519,0.13283,0.069925,0.16443,1.2924,0.43082,0.07243,0.12933,0.22577,2.613480484468038
3991.7,0.41383,148.39,8.1106,0.096129,0.1327,0.069611,0.16403,1.2996,0.46009,0.072132,0.12926,0.22192,2.6454603725547603
3971.5,0.40649,151.05,8.1507,0.095476,0.13275,0.06985,0.16442,1.2924,0.48966,0.072464,0.12948,0.22468,2.6712278995971093
3985.2,0.40207,146.6,8.2943,0.095967,0.13401,0.070079,0.16345,1.453,0.37619,0.071853,0.1288,0.22502,2.7184083863146027
3947.5,0.40611,149.37,8.1935,0.095584,0.13341,0.070014,0.16435,1.3322,0.52405,0.0721,0.12939,0.22645,2.7475959946550836
3945.1,0.40128,152.17,8.323,0.095037,0.13377,0.070317,0.16427,1.3718,0.54301,0.072369,0.1293,0.22819,2.808088693748882
3939.9,0.41544,146.72,8.0833,0.096227,0.13315,0.069692,0.16442,1.5621,0.36487,0.071711,0.12952,0.22465,2.816311206038815
