Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g243),Error (g223),Error (g238),Error (g185),Error (g138),Error (g164),Error (g50),Error (curve),Reduced Error
33.555,2.6421,465.27,19.288,0.12263,0.07562,0.19319,0.16439,0.067712,0.13578,0.13512,0.15561,1.6855,2.7355803051693046
25.773,7.1836,433.24,19.632,0.12242,0.077046,0.18424,0.16331,0.068421,0.12867,0.12921,0.13981,1.8094,2.822480843940138
33.228,3.4646,435.05,19.194,0.12235,0.075278,0.19142,0.16391,0.067237,0.13356,0.13462,0.15307,1.8448,2.886222301437596
3975.0,0.091552,460.15,2.13,0.10613,0.083427,0.32486,0.17564,0.056626,0.18599,0.10227,0.10328,1.8352,2.973407068316173
3919.7,0.092127,490.08,1.9621,0.10684,0.084039,0.31483,0.17693,0.05767,0.18723,0.10222,0.1021,1.8883,3.0201372777249933
3659.3,0.1172,415.21,1.7272,0.10838,0.084448,0.31049,0.1779,0.058965,0.18946,0.10209,0.099105,1.9044,3.035210767391473
3669.0,0.10768,448.42,1.5524,0.10915,0.085443,0.29479,0.17935,0.060769,0.19074,0.10184,0.099634,1.9321,3.05384047561808
3772.5,0.089202,351.75,2.512,0.10509,0.081901,0.35144,0.17343,0.05376,0.18352,0.1038,0.1053,1.8965,3.0547027014784134
3686.8,0.099602,327.44,2.5131,0.10545,0.081635,0.35411,0.17314,0.053624,0.18368,0.10401,0.10391,1.8966,3.0561767024257565
3841.0,0.092527,481.45,2.0814,0.10635,0.083528,0.32868,0.17645,0.056663,0.1861,0.1026,0.10305,1.9637,3.1071064337590393
