Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g223),Error (g39),Error (g138),Error (g164),Error (g238),Error (g185),Error (g243),Error (g50),Reduced Error
23.599,2.7945,498.65,17.234,0.93419,0.67819,0.11772,0.12358,0.14724,0.1513,0.072171,0.051142,0.093167,2.36870049890484
24.027,2.8285,498.21,17.205,0.84929,0.79874,0.11785,0.12362,0.14674,0.15138,0.071484,0.051465,0.093208,2.403772520750868
24.181,2.8701,497.79,17.206,0.80835,0.87336,0.11824,0.12376,0.14633,0.15137,0.070979,0.05178,0.092918,2.4370774003753386
23.583,2.8543,495.72,17.214,0.90579,0.79223,0.11821,0.1236,0.14686,0.15133,0.071586,0.051431,0.09271,2.4537399890716673
24.124,2.8704,495.6,17.209,0.81559,0.88592,0.11822,0.12375,0.14642,0.15141,0.07106,0.05174,0.092927,2.45704965378485
23.824,2.862,493.14,17.211,0.85282,0.86246,0.11818,0.12366,0.14673,0.15143,0.071387,0.05155,0.092877,2.471087797573345
24.368,2.8856,492.53,17.28,0.85621,0.93912,0.11851,0.12384,0.14635,0.15145,0.070974,0.051889,0.0927,2.551035172147831
24.484,2.8913,493.63,17.207,0.82724,0.97653,0.11832,0.12395,0.14612,0.1515,0.070674,0.05199,0.09302,2.559340532499378
24.527,2.8785,493.34,17.208,0.83682,0.96891,0.11817,0.12391,0.14621,0.15153,0.070775,0.051923,0.093166,2.5614085766551953
25.976,2.8223,499.26,17.49,0.91624,0.89517,0.11828,0.12385,0.14613,0.15142,0.070937,0.052075,0.093056,2.567156832527572
