param_type,param_name,out_u_bound,base,in_u_bound,in_l_bound,out_l_bound
input,cp_tau_s,1,10,3.5908863983732378,0.8223381011510073,0
input,cp_b,1,10,0.9946100706026321,-1.583992259550711,0
input,cp_tau_0,1,10,2.6985789633074355,1.116840102412664,0
input,cp_n,1,10,1.299136693744014,0.060320028688285184,0
input,average_strain,1,10,-0.5434821421947373,-4.520611864004139,0
output,average_stress,1,10,4.002166061756507,0.6299394005351697,0
output,g39_phi_1,1,10,-0.1851200737869204,-0.238854294957692,0
output,g39_Phi,1,10,0.27884502174716785,0.27107452747590083,0
output,g39_phi_2,1,10,0.4470494441477784,0.43405766856385863,0
output,g50_phi_1,1,10,0.29699407667020844,0.16295252934572602,0
output,g50_Phi,1,10,0.3426595041391189,0.3344135368371003,0
output,g50_phi_2,1,10,0.5173938594280976,0.5023861468741703,0
output,g138_phi_1,1,10,-0.30122112728806016,-2.2977332165486684,0
output,g138_Phi,1,10,0.4317978416383059,0.419707981354444,0
output,g138_phi_2,1,10,0.36770992242514966,0.31152076244804877,0
output,g164_phi_1,1,10,-0.4482938926104001,-0.7122654342035114,0
output,g164_Phi,1,10,0.38293511792357837,0.36114208775333284,0
output,g164_phi_2,1,10,0.5389128939036736,0.5284538915976446,0
output,g185_phi_1,1,10,-0.118581103227157,-0.3529301477662135,0
output,g185_Phi,1,10,0.38932559181749277,0.3639126857943454,0
output,g185_phi_2,1,10,0.45954325828041287,0.4333377239630525,0
output,g223_phi_1,1,10,0.6703200851026617,0.6235800554419949,0
output,g223_Phi,1,10,0.4757002371510284,0.4484434999624753,0
output,g223_phi_2,1,10,0.7981394099749288,-4.8017554137717635,0
output,g243_phi_1,1,10,0.3910410196711283,0.3741248601797271,0
output,g243_Phi,1,10,0.35339684339754135,0.3444708719084549,0
output,g243_phi_2,1,10,0.5825065263822911,0.574714020754261,0
output,g238_phi_1,1,10,-0.08323557609855109,-0.12171954625654813,0
output,g238_Phi,1,10,0.30811601586561477,0.27925617733850705,0
output,g238_phi_2,1,10,0.539314518745778,0.5259513412480125,0
