iteration,cp_tau_s,cp_b,cp_tau_0,cp_n,stress_error,geodesic_error,reduced_error
1,1760.4458556508907,9.00573285117198,494.5086677739723,7.78547003553545,5.859013522131119,0,5.859013522131119
2,2624.8930066090816,1.7116930311211087,322.9763353647267,8.370653079528587,4.3037463275051495,0,4.3037463275051495
3,125.25178085843885,3.3049302473114697,391.33812007643854,1.3348252887500638,0.24232370941401907,0,0.24232370941401907
4,2117.3755799444075,4.514935678135111,285.9537418218627,14.47906229049638,5.454868531518427,0,5.454868531518427
5,3485.7941800433327,6.868979359971354,57.27096891952678,18.47099929019876,8.91446955364228,0,8.91446955364228
6,927.3029132939506,8.230695457599438,105.24537811605781,12.683853234392434,2.2076029082067636,0,2.2076029082067636
7,1334.148174367814,0.10564803865700648,164.57856528406143,3.3761093278502203,0.3241612262944499,0,0.3241612262944499
8,3743.0478876113866,5.384955921255776,199.13482531187637,16.319884826054395,9.277867179667847,0,9.277867179667847
9,127.79,10.0,117.64,13.717,0.2752165513258704,0,0.2752165513258704
10,150.48,1.6529,440.68,20.0,0.8707080456186449,0,0.8707080456186449
11,286.8,1.7484,242.54,1.0,0.38685734517163245,0,0.38685734517163245
12,727.72,2.3638,238.82,1.0144,0.17520713296684198,0,0.17520713296684198
13,1008.4,1.3042,182.13,1.0,0.07943940514479883,0,0.07943940514479883
14,1093.4,0.33326,167.34,2.6932,0.06536679329422021,0,0.06536679329422021
15,1155.0,0.33224,145.4,3.2046,0.0656843843314999,0,0.0656843843314999
16,1262.2,0.33821,157.83,3.0228,0.023896648618456418,0,0.023896648618456418
17,1262.3,0.32742,166.27,2.6947,0.01709259026547639,0,0.01709259026547639
18,1153.0,0.33306,161.64,3.4181,0.01618217459233528,0,0.01618217459233528
19,1177.7,0.33365,144.91,4.3054,0.017423704004117725,0,0.017423704004117725
20,1159.1,0.32768,148.91,4.4578,0.013243891984695234,0,0.013243891984695234
21,1142.5,0.32997,150.82,4.4116,0.012476957904137404,0,0.012476957904137404
22,1155.4,0.32921,150.72,4.3235,0.012580579529590739,0,0.012580579529590739
23,1123.0,0.3306,152.17,4.5139,0.012809739666314128,0,0.012809739666314128
24,1114.0,0.33714,149.89,4.65,0.01337555878794548,0,0.01337555878794548
25,1157.7,0.32733,150.92,4.4407,0.013077050831497045,0,0.013077050831497045
26,1139.2,0.33418,151.62,4.3012,0.012387133480986946,0,0.012387133480986946
