param_type,param_name,base,out_l_bound,out_u_bound,in_l_bound,in_u_bound
input,cp_tau_s,10,0,1,2.4480534976849238,3.5968663112329096
input,cp_b,10,0,1,-1.9196446275562655,0.9769621383289935
input,cp_tau_0,10,0,1,1.366461033412196,2.6484829060469837
input,cp_n,10,0,1,0.1991648379699059,1.269009148155046
input,average_strain,10,0,1,-4.520611864004139,-0.5428905325818054
output,average_stress,10,0,1,0.6630975813913806,3.8709537414576176
output,g39_phi_1,10,0,1,-0.22151591808268875,-0.1835730870754332
output,g39_Phi,10,0,1,0.27107452747590083,0.2791191687201238
output,g39_phi_2,10,0,1,0.4322154325184636,0.4470494441477784
output,g50_phi_1,10,0,1,0.16560040251741143,0.2986784505601873
output,g50_Phi,10,0,1,0.3358589113198179,0.3451187650646136
output,g50_phi_2,10,0,1,0.5036545192429591,0.5146274324113403
output,g138_phi_1,10,0,1,-2.2977332165486684,-0.3311018062358651
output,g138_Phi,10,0,1,0.4222121710342237,0.43013958188470824
output,g138_phi_2,10,0,1,0.31152076244804877,0.36066913398770606
output,g164_phi_1,10,0,1,-0.7319371221773164,-0.48140710466659037
output,g164_Phi,10,0,1,0.36114208775333284,0.3820891186653007
output,g164_phi_2,10,0,1,0.5280420916550654,0.5375924475173411
output,g185_phi_1,10,0,1,-0.3529301477662135,-0.12239832027072804
output,g185_Phi,10,0,1,0.36323580448369375,0.38932559181749277
output,g185_phi_2,10,0,1,0.4333377239630525,0.45995007743384064
output,g223_phi_1,10,0,1,0.6228458296003306,0.6703200851026617
output,g223_Phi,10,0,1,0.45374630677038985,0.4757002371510284
output,g223_phi_2,10,0,1,-3.973262505761252,0.7981463225752155
output,g243_phi_1,10,0,1,0.3741248601797271,0.3903344475118518
output,g243_Phi,10,0,1,0.3447458537251875,0.35324283143372925
output,g243_phi_2,10,0,1,0.5730689639316218,0.5816425073379909
output,g238_phi_1,10,0,1,-0.12054856914867158,-0.0871829903194334
output,g238_Phi,10,0,1,0.27925617733850705,0.3064464736622397
output,g238_phi_2,10,0,1,0.5274623365537467,0.5370757527751402
