Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g138),Error (g185),Error (g39),Error (g238),Error (g223),Error (g164),Error (curve),Error (g50),Error (g243),Reduced Error
4.0347,4.8097,378.1,1.0654,1.2681,0.14642,0.085326,0.17353,0.54216,0.18189,1.1583,0.21652,0.066527,3.8388139000657935
4.094,4.8242,375.39,1.0677,1.2515,0.14607,0.085365,0.17356,0.59812,0.1817,1.1966,0.21672,0.066571,3.9162474045131623
3.9848,4.8317,379.19,1.0574,1.2748,0.14647,0.085309,0.17352,0.5093,0.18193,1.2656,0.2164,0.066546,3.9198306268034058
3.8523,4.829,370.81,1.0584,1.2794,0.14896,0.085179,0.17435,0.68279,0.18284,1.1036,0.2211,0.066585,3.9447171444202516
3.8627,4.825,370.79,1.0576,1.2781,0.14884,0.085189,0.17433,0.68048,0.18278,1.1088,0.22094,0.066591,3.9460703520907727
3.8131,4.8552,371.41,1.0574,1.2839,0.14918,0.085154,0.17438,0.66664,0.18294,1.1208,0.22131,0.066582,3.9508816753788025
3.8089,4.8531,370.74,1.0575,1.2834,0.14932,0.085149,0.17443,0.6826,0.18299,1.1085,0.22161,0.066586,3.954650898268089
3.8591,4.7422,371.08,1.0599,1.2896,0.14939,0.085169,0.1744,0.68693,0.18299,1.1166,0.22121,0.066534,3.972814649904331
3.8832,4.8959,375.09,1.0571,1.2752,0.14771,0.085226,0.17396,0.58177,0.1824,1.2415,0.21896,0.066588,3.9733337201334766
3.606,5.0907,379.54,1.0856,1.3105,0.15025,0.084937,0.17421,0.57172,0.18368,1.2251,0.22142,0.066381,3.9881825472039147
